RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
395005,39,"Providence, RI",msa,RI,309883.80,312091.80,314595.60,316687.06,317811.22,318163.87,318632.73,320553.54,324330.30,329442.70,335458.40,341685.00,347345.74,353129.86,359020.81,365529.98,371971.54,377861.86,381715.77,383121.57,382674.13,382202.08,382783.42,384321.53,388463.72,394896.20,403467.65,411669.71,418710.17,424223.37,426932.18,426529.44,424056.41,422173.59,421413.21,421285.14,420627.98,420480.93,421601.21,424686.74,428867.01,433180.14,437291.70,441128.82,444518.92,447498.24,449821.82,451972.53,453333.65,454845.56
394714,40,"Jacksonville, FL",msa,FL,231452.48,233107.34,234683.03,235729.50,236097.84,236304.39,236830.62,238226.62,240521.15,243232.47,246368.57,249490.12,253026.06,256867.63,261034.00,265407.65,270324.37,276160.17,281880.20,286804.38,290677.08,294813.91,299723.25,305031.27,311699.01,319508.43,328650.05,337758.57,345799.53,352588.49,356932.93,359005.82,359208.82,358953.10,358488.24,357153.51,354772.43,352365.65,350745.97,350018.82,349709.77,349846.19,350014.48,350502.45,350826.40,351161.05,351333.91,351633.55,352138.12,352942.50
394862,41,"Milwaukee, WI",msa,WI,240201.65,241786.19,243607.13,245331.01,246625.15,247263.60,247612.34,248466.45,250517.10,253438.72,256746.07,259924.32,262864.30,265784.89,268513.88,271493.66,275101.47,278996.43,282022.24,283079.05,282325.96,281049.60,280339.08,280564.01,281984.38,284467.96,288164.58,292762.67,297151.74,300632.80,302080.53,301810.76,300799.07,300105.01,300180.65,300812.64,302303.36,304422.72,307410.21,310931.77,314640.24,317804.36,320000.32,322049.51,323642.79,324897.55,325632.70,326008.16,326436.63,327777.92
394935,42,"Oklahoma City, OK",msa,OK,162579.64,163737.43,164597.30,165039.28,165145.96,165254.59,165649.91,166634.06,168239.80,170237.98,172573.75,174836.93,176816.96,178564.86,180256.04,182187.68,184464.53,186994.90,189111.32,190614.08,191477.09,192646.76,194233.41,196302.61,199192.46,202550.37,206293.40,209784.04,212819.45,215556.60,217482.96,218622.32,219116.35,219661.87,220528.61,221318.09,221582.97,221682.75,222035.73,223034.95,224376.57,225672.94,226570.23,227119.35,227409.72,227743.73,228183.39,228696.19,229153.84,229529.46
395012,43,"Raleigh, NC",msa,NC,288891.44,290246.84,291565.96,292715.59,293450.17,293995.35,294813.35,296569.48,299447.74,302840.31,306505.19,310150.72,313933.73,318016.95,322333.28,327134.16,333004.96,340348.00,348561.58,356763.48,364338.08,371656.35,378789.93,385581.06,393041.51,401445.80,411823.99,422790.13,433568.34,442093.66,446629.60,446781.57,443611.79,439932.72,436328.60,433100.78,429775.12,427066.98,425595.88,425723.51,427093.69,429341.03,431398.83,433093.07,434052.42,434693.80,435027.55,435017.58,435108.42,435906.33
394849,44,"Memphis, TN",msa,TN,162132.52,163361.76,164590.19,165841.73,166886.19,167874.82,169006.35,170595.77,172784.82,175341.50,178214.78,180696.62,183117.48,185395.69,188018.41,190695.11,193698.54,197024.92,200077.29,202278.10,203686.78,205424.95,208071.52,211108.38,214588.30,218268.35,222259.14,226267.29,229859.08,233172.96,235384.98,236553.64,236784.33,236776.69,236615.00,235988.73,234766.19,233550.90,233077.14,233269.20,233864.20,234405.87,234792.54,235173.17,235207.71,234967.38,234393.41,234044.44,234041.46,234634.81
395022,45,"Richmond, VA",msa,VA,249576.38,250908.57,252185.88,253238.13,253873.39,254421.24,255417.38,257276.61,260079.56,263568.36,267437.30,271341.00,275071.75,278748.72,282508.54,286335.95,290299.75,294233.79,297312.16,299131.00,299658.16,300230.50,301500.46,303663.85,307425.81,312034.45,317176.10,322048.21,326833.93,331661.36,335305.21,336933.14,336844.09,336471.68,336881.57,337604.57,338203.97,338483.37,339220.15,340781.63,343528.04,346469.12,348985.42,350488.04,351543.39,352174.89,352801.07,353520.33,354284.07,355534.01
394807,46,"Louisville, KY",msa,KY,185697.30,186599.50,187418.73,188140.14,188635.63,189175.28,189901.48,191318.54,193444.49,196134.08,199075.16,201851.31,204073.04,206107.62,208111.60,210189.23,212443.55,214878.93,216983.99,218184.31,218452.35,218860.41,219863.77,221401.60,223661.80,226273.96,229178.11,231931.68,234375.06,236614.32,237773.01,237921.94,237099.29,236645.45,236719.22,237137.50,237243.62,237410.10,237982.83,239320.97,241048.95,242809.79,244089.61,245065.92,245682.70,246240.86,246636.32,247074.90,247416.27,247856.06
394910,47,"New Orleans, LA",msa,LA,223050.82,225145.16,226939.76,228401.90,229099.61,229108.56,228272.10,228394.38,230004.01,232602.65,234910.86,236784.60,237797.13,239164.53,240580.33,242488.10,244920.11,247866.95,250747.52,252506.22,253539.16,254769.18,256598.95,258409.51,259458.77,260620.26,262111.97,263949.78,265328.46,266752.44,267821.84,267793.07,266108.51,263906.64,261470.56,258855.93,256382.87,254750.20,254653.93,254638.53,253587.55,251557.37,249092.51,246725.57,244000.02,241340.16,238954.44,237180.36,235592.70,235149.87
395053,48,"Salt Lake City, UT",msa,UT,366705.90,370687.30,374854.58,378484.16,380323.87,381047.63,381968.94,384932.17,390142.97,396923.11,404582.96,412146.74,419880.47,428378.61,438172.32,448973.96,460613.99,471868.62,481466.91,488648.91,493822.86,497921.67,502005.73,506792.27,514566.02,525031.40,537869.60,550455.70,560710.08,566297.28,565239.10,559144.51,550728.25,544135.86,539085.25,535102.72,531465.66,528473.81,526295.69,524649.87,523951.49,524867.92,526749.84,528974.90,530541.16,532067.30,533076.91,533503.48,533194.92,533354.32
